date,Open,High,Low,Close,Volume,seconds
2024-02-24 10:00:00,50590.01000000,50696.25000000,50585.00000000,50696.22000000,202.26812000,1708740000
2024-02-24 10:15:00,50696.22000000,50767.23000000,50696.21000000,50758.93000000,111.74244000,1708740900
2024-02-24 10:30:00,50758.93000000,50785.16000000,50717.44000000,50773.25000000,86.91837000,1708741800
2024-02-24 10:45:00,50773.26000000,50800.00000000,50731.04000000,50799.99000000,95.19911000,1708742700
2024-02-24 11:00:00,50799.98000000,50799.99000000,50744.46000000,50779.00000000,211.39457000,1708743600
2024-02-24 11:15:00,50779.01000000,50782.71000000,50682.00000000,50775.06000000,181.67508000,1708744500
2024-02-24 11:30:00,50775.07000000,50821.09000000,50752.27000000,50801.31000000,118.93670000,1708745400
2024-02-24 11:45:00,50801.31000000,50857.12000000,50801.31000000,50849.97000000,77.22303000,1708746300
2024-02-24 12:00:00,50849.96000000,50899.70000000,50826.47000000,50892.10000000,115.69752000,1708747200
2024-02-24 12:15:00,50892.11000000,50950.01000000,50888.96000000,50931.79000000,147.37169000,1708748100
2024-02-24 12:30:00,50931.79000000,50995.20000000,50931.78000000,50992.56000000,115.58661000,1708749000
2024-02-24 12:45:00,50992.57000000,51008.57000000,50935.78000000,50953.96000000,128.30926000,1708749900
2024-02-24 13:00:00,50953.96000000,51000.00000000,50922.00000000,50960.89000000,174.90900000,1708750800
2024-02-24 13:15:00,50960.89000000,51060.00000000,50958.11000000,51032.71000000,175.40866000,1708751700
2024-02-24 13:30:00,51032.72000000,51049.31000000,51010.30000000,51030.99000000,105.15670000,1708752600
2024-02-24 13:45:00,51030.99000000,51062.00000000,51023.12000000,51047.36000000,134.00449000,1708753500
2024-02-24 14:00:00,51047.36000000,51060.00000000,50978.88000000,51021.99000000,118.72392000,1708754400
2024-02-24 14:15:00,51022.00000000,51057.90000000,50994.63000000,50994.64000000,155.46390000,1708755300
2024-02-24 14:30:00,50994.63000000,51020.25000000,50958.92000000,50974.87000000,153.45106000,1708756200
2024-02-24 14:45:00,50974.88000000,51000.00000000,50944.19000000,50969.81000000,176.53731000,1708757100
2024-02-24 15:00:00,50969.80000000,51001.34000000,50938.78000000,50962.01000000,150.82143000,1708758000
2024-02-24 15:15:00,50962.01000000,51021.98000000,50958.46000000,51006.99000000,204.59043000,1708758900
2024-02-24 15:30:00,51007.00000000,51061.10000000,51003.70000000,51032.31000000,180.59095000,1708759800
2024-02-24 15:45:00,51032.31000000,51103.87000000,51032.30000000,51068.70000000,187.73874000,1708760700
2024-02-24 16:00:00,51068.70000000,51118.09000000,51018.36000000,51018.36000000,171.70417000,1708761600
2024-02-24 16:15:00,51018.37000000,51081.10000000,51004.54000000,51075.45000000,143.26370000,1708762500
2024-02-24 16:30:00,51075.46000000,51078.12000000,51007.14000000,51007.14000000,144.69428000,1708763400
2024-02-24 16:45:00,51007.15000000,51016.36000000,50953.00000000,50994.92000000,136.57449000,1708764300
2024-02-24 17:00:00,50994.92000000,51049.32000000,50986.82000000,51049.32000000,112.25409000,1708765200
2024-02-24 17:15:00,51049.32000000,51108.00000000,51049.31000000,51061.06000000,107.52510000,1708766100
2024-02-24 17:30:00,51061.06000000,51090.00000000,51061.00000000,51088.46000000,119.99713000,1708767000
2024-02-24 17:45:00,51088.47000000,51119.99000000,51062.62000000,51091.10000000,179.54823000,1708767900
2024-02-24 18:00:00,51091.10000000,51158.82000000,51086.02000000,51150.32000000,188.38683000,1708768800
2024-02-24 18:15:00,51150.33000000,51172.06000000,51103.78000000,51111.95000000,191.34780000,1708769700
2024-02-24 18:30:00,51111.95000000,51135.10000000,51093.53000000,51105.09000000,116.00276000,1708770600
2024-02-24 18:45:00,51105.10000000,51105.10000000,51074.28000000,51090.01000000,131.79291000,1708771500
2024-02-24 19:00:00,51090.01000000,51090.02000000,51059.70000000,51075.89000000,186.94006000,1708772400
2024-02-24 19:15:00,51075.88000000,51127.41000000,51034.39000000,51119.61000000,216.55472000,1708773300
2024-02-24 19:30:00,51119.60000000,51135.04000000,51091.99000000,51098.65000000,152.27170000,1708774200
2024-02-24 19:45:00,51098.65000000,51134.01000000,51098.65000000,51119.79000000,151.46995000,1708775100
2024-02-24 20:00:00,51119.79000000,51126.01000000,51053.06000000,51113.67000000,134.34698000,1708776000
2024-02-24 20:15:00,51113.67000000,51113.67000000,51050.51000000,51052.38000000,133.92492000,1708776900
2024-02-24 20:30:00,51052.39000000,51065.14000000,51032.34000000,51060.04000000,112.60354000,1708777800
2024-02-24 20:45:00,51060.04000000,51100.00000000,51060.03000000,51076.55000000,78.75802000,1708778700
2024-02-24 21:00:00,51076.55000000,51099.12000000,51055.00000000,51094.52000000,159.74867000,1708779600
2024-02-24 21:15:00,51094.52000000,51167.39000000,51094.51000000,51167.38000000,195.08015000,1708780500
2024-02-24 21:30:00,51167.39000000,51180.41000000,51112.08000000,51127.69000000,95.60233000,1708781400
2024-02-24 21:45:00,51127.68000000,51159.16000000,51123.57000000,51140.00000000,135.93571000,1708782300
2024-02-24 22:00:00,51140.00000000,51140.02000000,51087.99000000,51088.00000000,123.23135000,1708783200
2024-02-24 22:15:00,51088.01000000,51137.49000000,51079.68000000,51137.48000000,129.70104000,1708784100
